序号,简体,拼音,繁体,笔画,五行,姓氏
694,鼌,chao,鼂,17,金,否
695,嘲,chao、zhao,謿,19,火,否
696,潮,chao,潮,16,水,是
697,吵,chao,吵,7,金,否
698,炒,chao,炒,8,火,否
699,眧,chao,眧,10,金,否
700,麨,chao,麨,15,金,否
701,耖,chao,耖,10,金,否
702,车,che、ju,車,7,金,是
703,伡,che,俥,9,金,否
704,砗,che,硨,12,土,否
705,唓,che,唓,10,金,否
706,扯,che,撦,8,金,否
707,彻,che,徹,15,火,是
708,坼,che,坼,8,火,否
709,掣,che,掣,12,火,否
710,撤,che,撤,16,火,是
711,澈,che,澈,16,水,否
712,抻,chen,捵,12,金,否
713,郴,chen,郴,15,木,是
714,琛,chen,琛,13,金,否
715,嗔,chen,嗔,13,金,否
716,綝,chen,綝,14,金,否
717,瞋,chen,瞋,15,金,否
718,尘,chen,塵,14,火,否
719,臣,chen,臣,6,金,否
720,忱,chen,忱,8,金,否
721,沉,chen,沉,8,水,是
722,辰,chen,辰,7,土,是
723,陈,chen,陳,16,火,是
724,宸,chen,宸,10,金,否
725,晨,chen,晨,11,金,是
726,谌,chen,諶,16,金,是
727,趻,chen,趻,11,金,否
728,碜,chen,磣,16,土,否
729,墋,chen,墋,14,土,否
730,踸,chen,踸,16,金,否
731,闯,chuang,闖,18,水,否
732,衬,chen,襯,21,金,否
733,疢,chen,疢,9,金,否
734,称,cheng、chen,稱,14,金,是
735,龀,chen,齔,17,火,否
736,趁,chen,趂,11,木,否
737,榇,chen,櫬,20,木,否
738,儭,chen,儭,18,金,否
739,谶,chen,谶,24,金,否
740,柽,cheng,檉,17,木,否
741,偁,cheng,偁,11,金,否
742,蛏,cheng,蟶,19,火,否
743,铛,cheng、dang,鐺,21,金,否
744,牚,cheng,牚,12,金,否
745,琤,cheng,琤,11,金,否
746,赪,cheng,赪,16,金,否
747,撑,cheng,橕,16,火,否
748,瞠,cheng,瞪,17,火,否
749,丞,cheng,丞,6,金,否
750,成,cheng,成,7,金,是
751,呈,cheng,呈,7,火,否
752,承,cheng,承,8,金,是
753,枨,cheng,棖,12,木,是
754,诚,cheng,誠,14,金,是
755,城,cheng,城,10,土,是
756,宬,cheng,宬,9,金,否
757,乘,cheng、sheng,乗,10,金,是
758,埕,cheng,埕,10,土,否
759,脭,cheng,脭,13,金,否
760,铖,cheng,鋮,14,金,否
761,惩,cheng,懲,19,金,否
762,程,cheng,程,12,火,是
763,裎,cheng,裎,13,火,否
764,塍,cheng,堘,12,火,否
765,酲,cheng,酲,14,金,否
766,澄,cheng,澂,16,水,是
767,橙,cheng,橙,16,木,否
768,逞,cheng、ying,逞,14,火,是
769,骋,cheng,騁,17,火,否
770,秤,cheng,秤,10,水,否
771,吃,chi,喫,6,火,否
772,哧,chi,哧,10,火,否
773,胵,chi,胵,12,金,否
774,蚩,chi,蚩,10,金,是
775,鸱,chi,鴟,16,火,否
776,瓻,chi,瓻,11,金,否
777,眵,chi,眵,11,火,否
778,笞,chi,笞,11,木,否
779,嗤,chi,嗤,13,火,否
780,媸,chi,媸,13,火,否
781,摛,chi,攡,22,金,否
782,痴,chi,癡,18,火,否
783,絺,chi,絺,13,金,否
784,螭,chi,螭,24,火,否
785,魑,chi,魑,28,火,否
786,弛,chi,弛,6,火,否
787,池,chi,池,7,水,是
788,驰,chi,馳,13,火,否
789,迟,chi,遲,19,金,是
790,茌,chi,茌,11,木,是
791,持,chi,持,10,金,否
792,匙,chi,匙,11,金,否
793,墀,chi,墀,15,土,否
794,漦,chi,漦,15,金,否
795,踟,chi,踟,15,火,否
796,篪,chi,箎,14,木,否
797,尺,chi、che,尺,4,火,否
798,侈,chi,侈,8,火,否
799,齿,chi,齒,15,火,否
800,耻,chi,恥,10,火,否
801,豉,chi,豉,11,金,否
802,褫,chi,褫,16,金,否
803,彳,chi,彳,3,火,否
804,叱,chi,叱,5,金,是
